id,country,area,vessel,gear,rigging,door,year,month,day,haul_number,codend_closing,shooting_time,shooting_quadrant,shooting_latitude,shooting_longitude,shooting_depth,hauling_time,hauling_quadrant,hauling_latitude,hauling_longitude,hauling_depth,hauling_duration,validity,course,recorded_species,distance,vertical_opening,wing_opening,geometrical_precision,bridles_length,warp_length,warp_diameter,hydrological_station,observations,tf,todeb,tofin,method,nstrate,partit,upload_id,SST,X,Y
56675,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,28,9,S,1008,1,4054.25,1313.09,655,1108,1,4053.91,1309.53,620,60,V,N,3,5161,22,190,E,150,1800,14,NA,0,TA,13.8,14,SI,13220,S,486,22.10289383,13.1885,40.90133333
56676,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,10,S,730,1,4056.23,1325.65,554,830,1,4056.65,1322.62,559,60,V,R,3,4347,22,188,E,150,1700,14,NA,0,TA,13.9,14,SI,13220,S,486,22.11356115,13.40225,40.94066667
56674,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,8,S,1325,1,4057.13,1311.33,458,1425,1,4058.46,1315.39,450,60,V,R,3,5994,22,185,E,150,1551,14,NA,0,TA,14,14,SI,13219,S,486,22.08000374,13.22266667,40.96325
56673,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,7,S,1546,1,4100.3,1317.52,280,1646,1,4059.66,1314.16,270,60,V,R,3,4643,22,179,E,150,950,14,NA,0,TA,14.1,14,SI,13219,S,486,22.09856224,13.264,40.99966667
56672,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,6,S,705,1,4100.96,1313.97,151,735,1,4101.26,1316.1,157,30,V,N,3,3200,23,171,E,100,650,14,NA,0,TA,14.1,14,SI,13218,S,486,22.09856224,13.25058333,41.0185
56669,ITA,9,FRP,GOC73,GC73,WHS8,1994,7,1,3,S,740,1,4105.16,1245.03,516,840,1,4106.48,1240.42,509,60,V,N,3,6586,22,187,E,150,1650,14,NA,0,TA,NA,NA,SI,13220,S,486,21.83725834,12.71208333,41.097
56670,ITA,9,FRP,GOC73,GC73,WHS8,1994,7,1,4,S,1238,1,4105.32,1252.46,401,1338,1,4106.57,1250.23,385,60,V,N,3,4125,22,183,E,150,1400,14,NA,0,TA,NA,NA,SI,13219,S,486,21.92822456,12.85575,41.09908333
56679,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,28,13,S,1100,1,4107.72,1252.88,149,1130,1,4107.04,1254.82,150,30,V,R,3,2778,23,171,E,100,650,14,NA,0,TA,14,13.9,SI,13218,S,486,21.92822456,12.8975,41.123
56671,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,5,S,850,1,4102.93,1321.21,175,920,1,4103.54,1323.68,179,30,V,R,3,3718,22,173,E,100,700,14,NA,0,TA,14.2,14,SI,13218,S,486,21.98376656,13.37408333,41.05391667
56677,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,29,11,S,1540,1,4114.18,1326.07,40,1610,1,4115.05,1324.69,35,30,V,R,3,3163,23,153,E,100,350,14,NA,0,TA,15.6,15,SI,13216,S,486,21.82634878,13.423,41.24358333
56678,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,28,12,S,1500,1,4112.17,1323.44,81,1530,1,4112.25,1325.74,80,30,V,R,3,2990,23,163,E,100,450,14,NA,0,TA,13.9,13.8,SI,13217,S,486,21.82634878,13.40983333,41.2035
56668,ITA,9,FRP,GOC73,GC73,WHS8,1994,7,1,2,S,1000,1,4114.88,1224.89,483,1100,1,4116.29,1222.88,463,60,V,N,3,4569,22,186,E,150,1550,14,NA,0,TA,NA,NA,SI,13219,S,486,21.69148827,12.39808333,41.25975
56682,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,16,S,1650,1,4120.31,1222.7,199,1720,1,4119.26,1224.17,185,30,V,R,3,2820,22,174,E,100,800,14,NA,0,TA,14.1,14,SI,13218,S,486,21.69148827,12.39058333,41.32975
56680,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,28,14,S,850,1,4116.48,1259.41,43,920,1,4115.29,1301.01,45,30,V,R,3,3148,23,155,E,100,350,14,NA,0,TA,15.3,15.2,SI,13216,S,486,21.82634878,13.0035,41.26475
56681,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,28,15,S,735,1,4115.46,1257.21,81,805,1,4114.82,1259.12,81,30,V,R,3,2820,23,163,E,100,450,14,NA,0,TA,14,14,SI,13217,S,486,21.69148827,12.96941667,41.25233333
56667,ITA,9,FRP,GOC73,GC73,WHS8,1994,7,1,1,S,1320,1,4120.62,1219.17,324,1420,1,4123.06,1216.41,303,60,V,R,3,5161,22,180,E,150,1250,14,NA,0,TA,NA,NA,SI,13219,S,486,21.70052147,12.2965,41.364
56689,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,26,23,S,1235,1,4128.36,1206.5,617,1335,1,4126.32,1207.89,638,60,V,R,3,4240,22,190,E,150,1600,14,NA,0,TA,13.8,13.8,SI,13220,S,486,21.65811158,12.11991667,41.45566667
56690,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,26,24,S,1005,1,4127.88,1208.49,561,1105,1,4130.17,1206.37,568,60,V,R,3,5160,22,188,E,150,1700,14,NA,0,TA,13.9,13.7,SI,13220,S,486,21.65811158,12.12383333,41.48375
56688,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,26,22,S,1530,1,4131.59,1209.07,265,1630,1,4128.92,1210.88,285,60,V,R,3,5550,22,179,E,150,950,14,NA,0,TA,13.5,13.6,SI,13219,S,486,21.71077442,12.16625,41.50425
56683,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,17,S,1441,1,4130.02,1211.91,175,1511,1,4129.13,1212.89,175,30,V,R,3,2080,22,173,E,100,700,14,NA,0,TA,13.6,13.7,SI,13218,S,486,21.71077442,12.20666667,41.49291667
56691,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,26,25,S,845,1,4128.64,1209.52,625,945,1,4126.66,1211.56,655,60,V,N,3,4630,22,190,E,150,1850,14,NA,0,TA,13.9,13.9,SI,13220,S,486,21.71077442,12.17566667,41.46083333
56685,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,19,S,1019,1,4131.73,1222.04,88,1049,1,4132.51,1219.99,90,30,V,R,3,3190,23,164,E,100,450,14,NA,0,TA,13.9,14,SI,13217,S,486,21.71413327,12.35025,41.53533333
56686,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,20,S,855,1,4131.02,1226.38,30,925,1,4131.65,1227.83,33,30,V,R,3,2320,24,151,E,100,250,14,NA,0,TA,16.1,16,SI,13216,S,486,21.76482964,12.45175,41.52225
56693,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,27,S,1407,1,4137.25,1206.36,208,1507,1,4134.48,1208.56,219,60,V,R,3,5970,22,175,E,150,800,14,NA,0,TA,14.1,14,SI,13219,S,486,21.69196987,12.12433333,41.59775
56684,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,18,S,1209,1,4135.94,1213.69,115,1239,1,4134.96,1214.86,108,30,V,R,3,2430,23,167,E,100,500,14,NA,0,TA,14,14,SI,13218,S,486,21.7308507,12.23791667,41.59083333
56692,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,26,S,1625,1,4134.3,1209.71,160,1655,1,4132.99,1210.52,170,30,V,R,3,2670,23,172,E,100,700,14,NA,0,TA,14.1,14,SI,13218,S,486,21.7308507,12.16858333,41.56075
